Rank,Views,Likes,Comments,Title,VideoID,PublishDate,Link,Region,Source_File,Thumbnail
1,318632050,1785174,140156,Bessan Ismail x Fouad Jned -  خطية | بيسان اسماعيل و فؤاد جنيد,LsyviHWrNB4,2025-05-10,https://www.youtube.com/watch?v=LsyviHWrNB4,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/LsyviHWrNB4/maxresdefault.jpg
2,231802249,745183,42720,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,VkH3aMIWntw,2025-04-18,https://www.youtube.com/watch?v=VkH3aMIWntw,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/VkH3aMIWntw/maxresdefault.jpg
3,211761566,926478,108287,Tamer Hosny & Al Shami - Maleket Gamal El Kon / تامر حسني والشامي - ملكة جمال الكون,mUC-Um5Jauw,2025-05-24,https://www.youtube.com/watch?v=mUC-Um5Jauw,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/mUC-Um5Jauw/maxresdefault.jpg
4,202383402,818419,16351,Amr Diab - Baba | (كلمات) عمرو دياب - بابا,3knHALzEC7M,2025-07-03,https://www.youtube.com/watch?v=3knHALzEC7M,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/3knHALzEC7M/maxresdefault.jpg
5,177129756,995367,115898,Al Shami - Doctor (2025) / الشامي - دكتور,rhOAyPKHWEo,2025-01-13,https://www.youtube.com/watch?v=rhOAyPKHWEo,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/rhOAyPKHWEo/maxresdefault.jpg
6,163356944,655847,44162,Fadel Chaker And Mohamed Chaker - Kifek 3a fra2e  | 2025 | فضل شاكر ومحمد شاكر - كيفك ع فراقي,m5IWI6xFRms,2025-07-07,https://www.youtube.com/watch?v=m5IWI6xFRms,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/m5IWI6xFRms/maxresdefault.jpg
7,134978073,371836,14189,akhras - Skaba | الاخرس - سكابا,Tv4--ekFMKQ,2025-04-23,https://www.youtube.com/watch?v=Tv4--ekFMKQ,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/Tv4--ekFMKQ/maxresdefault.jpg
8,127564265,730516,67031,Fadel Chaker - Sahak Isho2  | 2025 | فضل شاكر - صحاك الشوق,pDy8B_r81vY,2025-08-25,https://www.youtube.com/watch?v=pDy8B_r81vY,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/pDy8B_r81vY/maxresdefault.jpg
9,124857805,976065,91962,Bessan Ismail - Al Harbein | بيسان اسماعيل - الحربين,hDd4B5yuYJY,2025-01-07,https://www.youtube.com/watch?v=hDd4B5yuYJY,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/hDd4B5yuYJY/maxresdefault.jpg
10,91355284,323809,12857,رعد الناصري - شوفولي جاره  | Raad El Nassri - Shofouli Jarah #حصريا 2025 #عيد_الحب,1xg1EEVnbyI,2025-02-11,https://www.youtube.com/watch?v=1xg1EEVnbyI,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/1xg1EEVnbyI/maxresdefault.jpg
11,82214320,293646,9396,Cheb Mirou ft Rami Latinos - Malek Ya Zahri كابر ڤليل من بكري طافية (Official Music Video 2025),FiaJay-nju0,2025-01-11,https://www.youtube.com/watch?v=FiaJay-nju0,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/FiaJay-nju0/maxresdefault.jpg
12,80968146,450483,16992,DYSTINCT - YAMA,QRHhWwdX59k,2025-10-17,https://www.youtube.com/watch?v=QRHhWwdX59k,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/QRHhWwdX59k/maxresdefault.jpg
13,80325269,246881,19751,Fadel Chaker - Elhob W Bass  | 2025 | فضل شاكر - الحب و بس,15f9PRTghDs,2025-06-13,https://www.youtube.com/watch?v=15f9PRTghDs,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/15f9PRTghDs/maxresdefault.jpg
14,77771608,698804,39196,Maher Zain & Harris J - Qalbi Fil Madinah | Official Music Video | قلبي في المدينة,2VLqZtded_0,2025-04-01,https://www.youtube.com/watch?v=2VLqZtded_0,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/2VLqZtded_0/maxresdefault.jpg
15,75401334,328373,22906,Amjad Jomaa - Al Sab3 | أمجد جمعة - السبع,_HF671bgtng,2025-06-06,https://www.youtube.com/watch?v=_HF671bgtng,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/_HF671bgtng/maxresdefault.jpg
16,73165814,713239,85271,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash | علاش,vGmQrRVEvJ8,2025-08-08,https://www.youtube.com/watch?v=vGmQrRVEvJ8,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/vGmQrRVEvJ8/maxresdefault.jpg
17,69207651,201537,5778,Adam - Ya Helou | آدم - يا حلو,GEucCNFsr84,2025-07-11,https://www.youtube.com/watch?v=GEucCNFsr84,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/GEucCNFsr84/maxresdefault.jpg
18,68553717,245721,13176,akhras - Harb | الاخرس - حرب,tP9RzrwvNfw,2025-08-29,https://www.youtube.com/watch?v=tP9RzrwvNfw,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/tP9RzrwvNfw/maxresdefault.jpg
19,68484024,411778,16262,Maha Ftouni - Awel Hob | مهى فتوني - أول حب,EXUEn28ajSA,2025-01-22,https://www.youtube.com/watch?v=EXUEn28ajSA,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/EXUEn28ajSA/maxresdefault.jpg
20,67857497,345657,16331,TUL8TE - El Hob Gany I تووليت - الحب جاني,w7JBHSx5ScA,2025-10-01,https://www.youtube.com/watch?v=w7JBHSx5ScA,Global_MENA,Global_MENA_2025_top20,https://i.ytimg.com/vi/w7JBHSx5ScA/maxresdefault.jpg
